Stock_Name,Feature_Vector,MSE,MAPE
HUBG,Close,1.0000702310782557,734803252889.0803
CORT,Close,1.0934540220759272,13460349950216.662
BMA,Close,1.0025743952824773,999067849254.4066
ORGS,Close,4.818872162902051,0.4797533319546101
BLE,Close,1.4079258181167522,0.06124719288848623
MORF,Close,1.1623322629127697,1.4182892396771312
EIX,Close,1.0000252650360815,130820676167.4862
KDP,Close,1.0295728182482755,47366534152554.37
EGOV,Close,5.179687628480862,0.35633178733506854
BBN,Close,1.0032251981105982,3779661960643.7334
CASH,Close,1.023158961037973,5759667619168.171
AGRO,Close,1.0290374807411766,3126065393993.784
LBRT,Close,1.4405713056488931,13666636918776.701
NSPR,Close,2468485.605194377,6204.292990396502
LNDC,Close,1.0003071555681233,104668475397.43121
DARE,Close,1.3090939859930673,14272845454773.836
RFM,Close,34.93854495179722,1.3776580980775528
TRMK,Close,0.9999444680034892,150691940931.95932
CSLT,Close,1.0113856087255506,2085301147774.3577
REV,Close,1.028618422267624,17046785277628.139
PACQW,Close,1.001284263095906,9581091105953.041
AGRX,Close,1.0028512028172336,1237406239861.2263
BBY,Close,1.0000451107372341,306722091255.4023
NTN,Close,1.0012818347270944,19980489944316.18
BYFC,Close,1.0004058932033886,1729420696133.314
BNSO,Close,4.702772134282601,0.7611233173417606
IMMU,Close,1.1479751536065101,0.6255571936807073
CVGW,Close,1.0029326764701199,5560338895405.317
IEA,Close,1.0067845736781278,535894558813.96704
EPM,Close,8.109787227036959,0.7087311210056505
GIM,Close,1.0005200271425856,135358808216.21025
CHMG,Close,0.9999535170529161,13492743331.025423
IDE,Close,1.0059862958545158,459121881039.832
EPZM,Close,1.0991491646349034,19637789072838.656
BTT,Close,1.010662207756272,4356416414508.8594
NOVT,Close,1.0016764983101045,76100835658.04352
PHD,Close,1.0018609694034635,692749538450.9166
PIPR,Close,1.0512304446071679,10.146644279104963
PEGA,Close,1.0062049123856858,4109831396403.5547
IGI,Close,1.1920878560953223,0.04954107612889756
PULM,Close,85.23036713646319,3.131240310475986
BZH,Close,1.654822883826412,20563739775471.168
SURF,Close,1.0173764647539603,2757303264737.862
BROG,Close,1.0311960523382369,0.12106622828894886
CSTR,Close,1.0062651450106188,80156774007.75763
CSWI,Close,1.000449822664911,1.0061687939664121
PFO,Close,1.364451775665844,0.060030121599774174
RCII,Close,1.0031751547585936,1672378259392.0647
GEN,Close,18.87989321420054,2.3491002009645237
XSPA,Close,1.500130249436749,227677449970583.66
CCRN,Close,1.3997122398450095,0.22607313932339837
CXDC,Close,4.335388928056423,1.001348882677426
YGRN,Close,1.0192959764636684,1.2193796797042953
FLXN,Close,1.1303801080792752,5263956541016.283
TUSK,Close,1.0875094663075833,9317758762633.709
BYD,Close,1.007532274069631,2535820274347.7925
WBA,Close,0.9999995696928886,72808113376.14983
DAIO,Close,1.0561673905972868,0.26574234380159945
SUPN,Close,4.0418759839329885,22065383691837.992
CSTE,Close,1.1224093758554148,11734063802415.621
CTRC,Close,23073.448862097604,449.22249171306777
LVS,Close,1.6290802516198097,22488694507713.77
QTWO,Close,1.0003581518955535,556635220709.0488
NML,Close,1.002874314678544,1131425127844.537
CRT,Close,1.0032906315187446,358541914378.3872
ODC,Close,1.0000102330569545,113540029004.05417
MYOV,Close,1.1293720460083387,26183718763784.594
ESGR,Close,1.0000705614772112,1247210190790.1343
GNPX,Close,1.0045300750500845,445994747521.7502
TRN,Close,1.280274932911778,9182859808481.504
SMTS,Close,0.8891294309219677,0.31463679542319267
YTEN,Close,1.0203153407871715,489840496799270.6
AVGR,Close,4.54449994153866,69050899841641.734
DLTH,Close,1.0094294967920394,2467664634642.7627
DNOW,Close,1.8576246966558525,17098454075124.416
HCA,Close,1.0016703702166196,1382678068099.275
RBBN,Close,177.01296071230277,3.780248290242686
